Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,2021_Population,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
174.1121,52.7246000000001,Eareckson Station,Unincorporated,Place of Interest,Aleutians West Census Area,232,0,0,0
-148.05533185,64.8793417300001,Ester Dome,Locality,Community,Fairbanks North Star Borough,0,0,0,0
-149.09074136,64.56270921,Nenana,Home Rule City,Community,Yukon-Koyukuk Census Area,358,1,0,1
-150.0108417,61.3551864900001,Point MacKenzie,CDP,Community,Matanuska-Susitna Borough,2087,1,0,0
-164.17930051,62.9450601400001,Chuloonawick,Unincorporated,Place of Interest,Kusilvak Census Area,0,1,0,0
-149.971789,62.0168980000001,Caswell,Locality,Place of Interest,Matanuska-Susitna Borough,0,0,0,0
-145.89544905,64.1513819800001,Whitestone,Unincorporated CDP,Community,Southeast Fairbanks Census Area,141,1,0,0
-135.89587576,59.40043417,Klukwan,Unincorporated CDP,Community,Hoonah-Angoon Census Area,88,1,0,1
-154.49827348,59.55470038,Pope-Vannoy Landing,CDP,Place of Interest,Lake and Peninsula Borough,5,1,0,0
-149.02684282,63.9048025500001,Lignite,Locality,Place of Interest,Denali Borough,0,0,0,0
-154.17324554,56.9468146400001,Kaguyak,Locality,Place of Interest,Kodiak Island Borough,0,1,0,0
-147.72600629,61.79346959,Glacier View,CDP,Community,Matanuska-Susitna Borough,239,1,0,0
-150.1075,67.4100000000001,Wiseman,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,5,1,0,0
-146.4218093,67.0167170700001,Venetie,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,185,1,0,1
-151.53200662,59.64718757,Homer,1st Class City,Community,Kenai Peninsula Borough,5491,0,0,0
-151.31957957,60.36911853,Cohoe,CDP,Community,Kenai Peninsula Borough,1523,1,0,0
-151.74113237,59.21271504,Portlock,Locality,Place of Interest,Kenai Peninsula Borough,0,0,0,0
-149.08443821,66.00452448,Stevens Village,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,48,1,0,1
-156.58825541,61.7871601300001,Stony River,Unincorporated CDP,Community,Bethel Census Area,51,1,0,1
-158.72493203,64.3265639300001,Kaltag,2nd Class City,Community,Yukon-Koyukuk Census Area,149,1,0,1
-152.0777034,65.17118315,Tanana,1st Class City,Community,Yukon-Koyukuk Census Area,231,1,0,1
-161.19435626,64.3545557,Shaktoolik,2nd Class City,Community,Nome Census Area,214,1,0,1
-156.87712316,64.7426528600001,Galena,1st Class City,Community,Yukon-Koyukuk Census Area,476,1,0,1
