Longitude,Latitude,Community,IncorporationType,AreaType,Population,Year,Is_Subsistence_Use,Is_Essential_Air_Service,Is_Environmentally_Threatened
-156.6676467,58.6813712700001,Lake and Peninsula Borough,Non-Unified Home Rule Borough,Community,1629,2016,1,0,0
-165.5815722,61.8428100100001,Scammon Bay,2nd Class City,Community,561,2015,1,0,1
-149.3682771,60.4864352800001,Moose Pass,CDP,Community,249,2014,0,0,0
-157.3346559,61.7822606500001,Red Devil,Unincorporated CDP,Community,15,2016,1,0,0
-165.7735393,54.13431811,Akutan,2nd Class City,Community,933,2015,1,1,1
-160.2806073,59.07512832,Twin Hills,Unincorporated CDP,Community,87,2015,1,1,1
-162.7288422,66.07667336,Deering,2nd Class City,Community,152,2014,1,0,1
-151.7358661,68.1418507700001,Anaktuvuk Pass,2nd Class City,Community,375,2014,1,0,1
-144.6981839,63.99574441,Healy Lake,Unincorporated CDP,Community,22,2016,1,1,1
-151.2013355,61.9677230600001,Skwentna,CDP,Place of Interest,33,2015,1,0,0
-159.1433925,55.91158561,Perryville,CDP,Community,120,2014,1,1,1
-158.0075,62.4536000000001,Flat,Unincorporated CDP,Place of Interest,0,2014,1,0,0
-132.99261,55.5286340000001,Klawock Lake,Unincorporated,Community,44,2016,0,0,0
-161.1648736,64.9306613100001,Koyuk,2nd Class City,Community,333,2015,1,0,1
-145.1850849,61.7999571,Willow Creek,Unincorporated CDP,Place of Interest,186,2015,1,0,0
-145.5355408,68.12846168,Arctic Village,Unincorporated CDP,Community,192,2015,1,0,1
-162.5194696,60.89457329,Kasigluk,Unincorporated CDP,Community,600,2015,1,0,1
-148.0123404,60.0655963200001,Chenega,Unincorporated CDP,Community,63,2014,1,0,1
-149.0058449,63.8703844300001,Denali Borough,Non-Unified Home Rule Borough,Community,1785,2014,1,0,0
-144.0667491,65.8266465400001,Circle,Unincorporated CDP,Community,107,2014,1,1,1
-157.7027018,64.8817887800001,Koyukuk,2nd Class City,Community,96,2015,1,0,1
-150.7622222,60.5019444000001,Funny River,CDP,Community,884,2014,1,0,0
-161.5822568,59.1182251700001,Goodnews Bay,2nd Class City,Community,259,2014,1,0,1
-149.4023031,60.1685445700001,Bear Creek,CDP,Community,1985,2015,1,0,0
-162.0399103,63.47835158,Saint Michael,2nd Class City,Community,428,2015,1,0,1
-163.0367115,64.5423909500001,Golovin,2nd Class City,Community,171,2014,1,0,1
-154.3280837,60.19602229,Port Alsworth,CDP,Community,179,2015,1,0,0
-156.8823728,66.9077009200001,Kobuk,2nd Class City,Community,148,2016,1,0,1
-145.8179463,66.2629693000001,Birch Creek,Unincorporated CDP,Community,26,2016,1,0,1
-152.314687,63.88261006,Lake Minchumina,Unincorporated CDP,Place of Interest,11,2016,1,1,0
-133.9447988,56.9744498800001,Kake,1st Class City,Community,605,2016,1,1,1
-160.9564605,61.09868491,Tuluksak,Unincorporated CDP,Community,363,2016,1,0,1
-149.1907816,64.34335795,Anderson,2nd Class City,Community,217,2015,1,0,0
-133.9447988,56.9744498800001,Kake,1st Class City,Community,626,2014,1,1,1
-144.8219354,65.57070889,Central,Unincorporated CDP,Community,86,2016,1,1,0
-150.7622222,60.5019444000001,Funny River,CDP,Community,951,2016,1,0,0
-157.7198137,58.9051910300001,Portage Creek,Unincorporated CDP,Place of Interest,1,2015,1,0,1
-133.9447988,56.9744498800001,Kake,1st Class City,Community,620,2015,1,1,1
-150.1718169,65.5033866300001,Rampart,Unincorporated CDP,Community,64,2016,1,0,1
-149.0058449,63.8703844300001,Healy,CDP,Community,1104,2015,0,0,0
-153.2836713,57.21341891,Old Harbor,2nd Class City,Community,228,2015,1,0,1
-176.6402959,51.86824598,Adak,2nd Class City,Community,247,2014,1,1,1
-158.4141558,56.3012632000001,Chignik,2nd Class City,Community,96,2016,1,1,1
-147.1680556,61.9386111000001,Eureka Roadhouse,CDP,Place of Interest,44,2016,1,0,0
-157.3346559,61.7822606500001,Red Devil,Unincorporated CDP,Community,18,2014,1,0,0
-159.7718289,62.1984422,Holy Cross,2nd Class City,Community,175,2015,1,0,1
